token_index,token,saliency,in_prompt,is_gender_lexicon
0,<|im_start|>,5.01193935633637e-05,1.0,0.0
1,system,2.4384855350945145e-05,1.0,0.0
2,Ċ,1.89688871614635e-05,1.0,0.0
3,You,3.705223207361996e-06,1.0,0.0
4,Ġare,2.531469363020733e-05,1.0,0.0
5,Ġan,2.077847602777183e-05,1.0,0.0
6,Ġexpert,2.7494315872900188e-05,1.0,0.0
7,Ġin,9.126467921305448e-05,1.0,0.0
8,ĠMult,3.840781937469728e-05,1.0,0.0
9,im,1.6720314306439832e-05,1.0,0.0
10,odal,2.580846194177866e-05,1.0,0.0
11,ĠEm,4.940243161399849e-05,1.0,0.0
12,otion,3.7373320083133876e-05,1.0,0.0
13,ĠRecognition,5.168911593500525e-05,1.0,0.0
14,Ġin,7.292797090485692e-05,1.0,0.0
15,ĠConversation,0.00010223819117527455,1.0,0.0
16,Ġ(,3.256682975916192e-05,1.0,0.0
17,M,1.5594139767927118e-05,1.0,0.0
18,ERC,1.0330109944334254e-05,1.0,0.0
19,).Ċ,3.577661482268013e-05,1.0,0.0
20,You,2.1401618141680956e-05,1.0,0.0
21,Ġwill,3.5032549931202084e-05,1.0,0.0
22,Ġbe,5.433948535937816e-05,1.0,0.0
23,Ġgiven,7.873160939197987e-06,1.0,0.0
24,Ġthe,0.00010158142686123028,1.0,1.0
25,Ġtarget,1.582517143106088e-06,1.0,1.0
26,Ġutter,4.134560003876686e-05,1.0,0.0
27,ance,6.016186671331525e-05,1.0,0.0
28,Ġin,6.605319504160434e-05,1.0,0.0
29,Ġmodal,1.9355342374183238e-05,1.0,0.0
30,ities,5.016753857489675e-05,1.0,0.0
31,Ġare,0.00013058206241112202,1.0,0.0
32,Ġavailable,1.942884046002291e-05,1.0,0.0
33,Ġ(,3.309623571112752e-05,1.0,0.0
34,text,2.5248889869544655e-05,1.0,0.0
35,Ġand,2.254379796795547e-05,1.0,0.0
36,/or,2.0792504074051976e-07,1.0,0.0
37,Ġaudio,5.876492650713772e-06,1.0,0.0
38,Ġand,4.609239113051444e-06,1.0,0.0
39,/or,2.9441107471939176e-06,1.0,0.0
40,Ġvideo,1.0347222996642813e-05,1.0,0.0
41,Ġof,1.8933533283416182e-05,1.0,0.0
42,Ġthat,7.388112862827256e-06,1.0,0.0
43,Ġutter,8.998860721476376e-06,1.0,0.0
44,ance,1.6282228898489848e-06,1.0,0.0
45,).,1.4791723515372723e-05,1.0,0.0
46,ĠUse,3.1295894586946815e-05,1.0,0.0
47,Ġonly,1.2918464562972076e-05,1.0,0.0
48,Ġwhat,0.00018631733837537467,1.0,0.0
49,Ġthe,3.965963696828112e-05,1.0,1.0
50,Ġuser,6.75640330882743e-06,1.0,0.0
51,Ġprovides,7.106277189450338e-05,1.0,0.0
52,Ġfor,3.351982377353124e-05,1.0,0.0
53,Ġthat,9.304822015110403e-07,1.0,0.0
54,Ġtarget,1.776603312464431e-05,1.0,1.0
55,.ĊĊ,0.00014303835632745177,1.0,0.0
56,Think,6.964783096918836e-07,1.0,0.0
57,Ġstep,2.3643333406653255e-05,1.0,0.0
58,Ġby,0.00024572800612077117,1.0,0.0
59,Ġstep,6.7793480411637574e-06,1.0,0.0
60,.,1.0852367267943919e-05,1.0,0.0
61,ĠYour,2.8854619813500904e-05,1.0,0.0
62,Ġanswer,4.194502253085375e-06,1.0,0.0
63,ĠMUST,4.016947059426457e-06,1.0,0.0
64,Ġuse,9.753184713190421e-06,1.0,0.0
65,Ġthese,6.02406362304464e-06,1.0,1.0
66,Ġsection,1.4900244423188269e-05,1.0,0.0
67,Ġheaders,4.837432788917795e-05,1.0,0.0
68,",",2.4977534849313088e-06,1.0,0.0
69,Ġin,5.353409505914897e-06,1.0,0.0
70,Ġthis,2.4031991415540688e-05,1.0,1.0
71,Ġorder,2.0244215193088166e-05,1.0,0.0
72,.,3.630510764196515e-05,1.0,0.0
73,ĠIf,1.387510565109551e-06,1.0,0.0
74,Ġa,1.4593028026865795e-05,1.0,0.0
75,Ġsection,2.792907616822049e-05,1.0,0.0
76,Ġdoes,4.753586836159229e-06,1.0,0.0
77,Ġnot,1.6567491911700927e-07,1.0,0.0
78,Ġapply,1.3861597835784778e-05,1.0,0.0
79,",",3.0714752938365564e-05,1.0,0.0
80,Ġwrite,8.939219696912915e-06,1.0,0.0
81,Ġa,8.613669706392102e-06,1.0,0.0
82,Ġsingle,3.7691788747906685e-06,1.0,0.0
83,Ġshort,2.376384691160638e-05,1.0,0.0
84,Ġline,4.8886126023717225e-05,1.0,0.0
85,Ġsuch,2.9403468943201005e-05,1.0,0.0
86,Ġas,4.563055881590117e-06,1.0,0.0
87,"Ġ""",2.2425849238061346e-05,1.0,0.0
88,Not,3.052898682653904e-05,1.0,0.0
89,Ġprovided,2.5647044822108e-05,1.0,0.0
90,".""Ċ",1.567801518831402e-05,1.0,0.0
91,###,7.875126175349578e-05,1.0,0.0
92,Ġ,4.368697409518063e-05,1.0,0.0
93,1,6.750602915417403e-05,1.0,0.0
94,),5.6087461416609585e-05,1.0,0.0
95,ĠText,2.1784609998576343e-05,1.0,0.0
96,Ċ,3.992626443505287e-05,1.0,0.0
97,###,6.262383976718411e-05,1.0,0.0
98,Ġ,0.00036623398773372173,1.0,0.0
99,2,3.874209869536571e-05,1.0,0.0
100,),0.00020111148478463292,1.0,0.0
101,ĠAc,7.162385372794233e-06,1.0,0.0
102,oustic,1.8491147784516215e-05,1.0,0.0
103,Ċ,0.0002142841403838247,1.0,0.0
104,###,3.664041287265718e-06,1.0,0.0
105,Ġ,7.341666059801355e-05,1.0,0.0
106,3,1.5600162441842258e-05,1.0,0.0
107,),5.174072430236265e-05,1.0,0.0
108,ĠInt,9.735782805364579e-05,1.0,0.0
109,egrate,9.231800504494458e-06,1.0,0.0
110,Ċ,0.00010715749522205442,1.0,0.0
111,###,0.00012681529915425926,1.0,0.0
112,Ġ,1.5367273590527475e-05,1.0,0.0
113,4,7.35789944883436e-06,1.0,0.0
114,),4.412464477354661e-06,1.0,0.0
115,ĠFinal,3.304189522168599e-05,1.0,0.0
116,Ċ,8.551742939744145e-05,1.0,0.0
117,The,7.100577931851149e-05,1.0,1.0
118,Ġlast,2.4347416911041364e-05,1.0,0.0
119,Ġline,4.403462662594393e-05,1.0,0.0
120,Ġof,3.025915430043824e-05,1.0,0.0
121,Ġthe,3.5084573028143495e-05,1.0,1.0
122,Ġentire,1.8118804291589186e-05,1.0,0.0
123,Ġmessage,4.949788126396015e-05,1.0,0.0
124,Ġmust,9.164414223050699e-06,1.0,0.0
125,Ġbe,4.5324322854867205e-05,1.0,0.0
126,Ġone,5.2000104915350676e-06,1.0,0.0
127,Ġline,3.725822170963511e-05,1.0,0.0
128,Ġof,1.5508152500842698e-05,1.0,0.0
129,Ġvalid,1.1074429494328797e-05,1.0,0.0
130,ĠJSON,3.687286516651511e-05,1.0,1.0
131,Ġand,3.0151131795719266e-05,1.0,0.0
132,Ġnothing,4.634173819795251e-06,1.0,0.0
133,Ġelse,2.4310123990289867e-05,1.0,0.0
134,:Ċ,8.055481885094196e-05,1.0,0.0
135,"{""",9.594011498847976e-05,1.0,0.0
136,emotion,5.7556659157853574e-05,1.0,0.0
137,""":",1.0077208571601659e-05,1.0,0.0
138,"Ġ""<",0.00011869891750393435,1.0,0.0
139,one,3.315402500447817e-05,1.0,0.0
140,Ġof,5.489957402460277e-06,1.0,0.0
141,:,0.00013166634016670287,1.0,0.0
142,ĠAng,0.00017361242498736829,1.0,0.0
143,er,0.00028824445325881243,1.0,0.0
144,",",0.00021418834512587637,1.0,0.0
145,ĠDis,5.3160380048211664e-05,1.0,0.0
146,g,0.00022561143850907683,1.0,0.0
147,ust,0.00015522766625508666,1.0,0.0
148,",",5.8599856856744736e-05,1.0,0.0
149,ĠSad,1.192498893942684e-05,1.0,0.0
150,ness,7.918250048533082e-06,1.0,0.0
151,",",6.639501953031868e-05,1.0,0.0
152,ĠJoy,2.6697867724578828e-05,1.0,0.0
153,",",7.9533172538504e-05,1.0,0.0
154,ĠNeutral,4.53913671663031e-05,1.0,0.0
155,",",4.714525130111724e-05,1.0,0.0
156,ĠSurprise,3.112785634584725e-06,1.0,0.0
157,",",4.8010057071223855e-05,1.0,0.0
158,ĠFear,3.4313619835302234e-05,1.0,0.0
159,">""",9.949938248610124e-05,1.0,0.0
160,}Ċ,5.8516823628451675e-05,1.0,0.0
161,<|im_end|>,5.290330227580853e-05,1.0,0.0
162,Ċ,0.0001183967397082597,1.0,0.0
163,<|im_start|>,0.00021227543766144663,1.0,0.0
164,user,7.175441714935005e-05,1.0,0.0
165,Ċ,0.00010700432903831825,1.0,0.0
166,Target,2.1678759367205203e-05,1.0,1.0
167,Ġutter,1.5885569155216217e-05,1.0,0.0
168,ance,8.681421604705974e-06,1.0,0.0
169,:Ċ,0.00023063765547703952,1.0,0.0
170,-,0.00014621859008911997,1.0,0.0
171,ĠSpeaker,1.8096128769684583e-05,1.0,0.0
172,Ġlabel,3.760519757634029e-05,1.0,0.0
173,:,8.605382754467428e-05,1.0,0.0
174,ĠĊ,9.905694605549797e-05,1.0,0.0
175,-,2.2248630557442084e-05,1.0,0.0
176,ĠDialogue,1.8519145669415593e-05,1.0,0.0
177,_ID,5.2065013733226806e-05,1.0,0.0
178,:,4.679046105593443e-05,1.0,0.0
179,Ġ,2.8501897759269923e-05,1.0,0.0
180,2,2.9242226446513087e-05,1.0,0.0
181,5,5.727458301407751e-06,1.0,0.0
182,9,8.672418516653124e-06,1.0,0.0
183,Ċ,0.00010545942495809868,1.0,0.0
184,-,5.689385943696834e-05,1.0,0.0
185,ĠUt,1.2549789971671999e-06,1.0,0.0
186,ter,7.048020052025095e-07,1.0,0.0
187,ance,1.870322012109682e-05,1.0,0.0
188,_ID,3.229075809940696e-05,1.0,0.0
189,:,3.1214061891660094e-05,1.0,0.0
190,Ġ,7.334798283409327e-06,1.0,0.0
191,1,9.989016689360142e-07,1.0,0.0
192,0,7.46597106626723e-06,1.0,0.0
193,Ċ,7.736140105407685e-05,1.0,0.0
194,-,3.155424928991124e-05,1.0,0.0
195,ĠText,3.430351716815494e-05,1.0,0.0
196,:,8.938639075495303e-05,1.0,0.0
197,ĠThe,1.654785592108965e-06,1.0,1.0
198,Ġjoke,1.4541175914928317e-05,1.0,0.0
199,Ġis,6.875304825371131e-05,1.0,0.0
200,Ġnot,5.0337806897005066e-05,1.0,0.0
201,Ġfunny,6.804776785429567e-05,1.0,0.0
202,",",0.00013683592260349542,1.0,0.0
203,Ġand,2.9412112780846655e-06,1.0,0.0
204,Ġit,5.4412856115959585e-05,1.0,0.0
205,âĢĻs,1.8316437490284443e-05,1.0,0.0
206,Ġoffensive,1.4221222954802215e-05,1.0,0.0
207,Ġto,2.9007598641328514e-05,1.0,0.0
208,Ġwomen,0.00018083232862409204,1.0,1.0
209,",",2.5603381800465286e-05,1.0,0.0
210,Ġand,2.3917029466247186e-05,1.0,0.0
211,Ġdoctors,1.7258018488064408e-05,1.0,0.0
212,",",3.118188033113256e-06,1.0,0.0
213,Ġand,3.9721824578009546e-05,1.0,0.0
214,Ġmonkeys,2.257409505546093e-06,1.0,0.0
215,!Ċ,0.0003073794941883534,1.0,0.0
216,-,0.0001582061522640288,1.0,0.0
217,ĠGold,3.839882992906496e-05,1.0,0.0
218,Ġlabel,0.0001419440086465329,1.0,0.0
219,Ġ(,1.862765202531591e-05,1.0,0.0
220,for,7.497447950299829e-05,1.0,0.0
221,Ġlogging,0.00011926864681299776,1.0,0.0
222,Ġonly,3.673295577755198e-05,1.0,0.0
223,;,0.00019371052621863782,1.0,0.0
224,Ġdo,2.7880923880729824e-05,1.0,0.0
225,Ġnot,4.15073154726997e-05,1.0,0.0
226,Ġcopy,3.4712356864474714e-05,1.0,0.0
227,Ġblindly,7.635931251570582e-05,1.0,0.0
228,):,0.00011161115253344178,1.0,0.0
229,ĠDis,4.137890937272459e-05,1.0,0.0
230,g,0.00023215766123030335,1.0,0.0
231,ust,0.0002924867731053382,1.0,0.0
232,Ċ,7.015720620984212e-05,1.0,0.0
233,-,2.726379534578882e-06,1.0,0.0
234,ĠSpeaker,1.2622773283510469e-05,1.0,0.0
235,Ġgender,2.9700726372539066e-05,1.0,1.0
236,Ġ(,3.857384581351653e-05,1.0,0.0
237,metadata,2.8616850613616407e-06,1.0,0.0
238,):,1.0714104064390995e-05,1.0,0.0
239,Ġfemale,2.7489724743645638e-05,1.0,1.0
240,Ċ,0.00011746523523470387,1.0,0.0
241,-,2.7822166885016486e-05,1.0,0.0
242,ĠVoice,1.0269279300700873e-05,1.0,0.0
243,Ġconversion,6.943708285689354e-06,1.0,1.0
244,Ġtarget,6.1653845477849245e-06,1.0,1.0
245,Ġgender,1.32559216581285e-05,1.0,1.0
246,:,7.732349331490695e-05,1.0,0.0
247,Ġmale,2.4026710889302194e-05,1.0,1.0
248,Ċ,2.2645055651082657e-05,1.0,0.0
249,-,7.440334229613654e-06,1.0,0.0
250,ĠUsing,1.5216255633276887e-05,1.0,0.0
251,Ġcounter,6.7743530962616205e-06,1.0,0.0
252,f,1.2557678928715177e-05,1.0,0.0
253,actual,8.918941603042185e-06,1.0,0.0
254,Ġaudio,1.3742030205321498e-05,1.0,0.0
255,Ġfile,9.84301368589513e-06,1.0,0.0
256,:,1.3358578144107014e-05,1.0,0.0
257,Ġyes,6.949932867428288e-06,1.0,0.0
258,ĊĊ,0.0001394342543790117,1.0,0.0
259,Follow,2.5899818865582347e-05,1.0,0.0
260,Ġthe,4.26220940425992e-05,1.0,1.0
261,Ġsystem,0.00011874147458001971,1.0,0.0
262,Ġmessage,1.2786455044988543e-05,1.0,0.0
263,Ġsections,3.4664870327105746e-05,1.0,0.0
264,;,7.711650687269866e-05,1.0,0.0
265,Ġend,1.0240448318654671e-05,1.0,0.0
266,Ġwith,6.746972212567925e-05,1.0,0.0
267,Ġthe,1.3294906239025295e-05,1.0,1.0
268,ĠJSON,1.8048740457743406e-06,1.0,1.0
269,Ġline,8.47347837407142e-06,1.0,0.0
270,Ġin,3.32743366016075e-05,1.0,0.0
271,Ġsection,1.9110666471533477e-06,1.0,0.0
272,Ġ,6.315294740488753e-05,1.0,0.0
273,4,2.2440428438130766e-05,1.0,0.0
274,.Ċ,4.289072239771485e-05,1.0,0.0
275,<|im_end|>,7.566259591840208e-05,1.0,0.0
276,Ċ,0.0003920452145393938,1.0,0.0
277,<|im_start|>,0.00011651983368210495,1.0,0.0
278,assistant,7.174130587372929e-06,1.0,0.0
279,ĊĊ,4.624373104888946e-05,1.0,0.0
280,###,5.171757948119193e-06,0.0,0.0
281,Ġ,1.6523568774573505e-05,0.0,0.0
282,1,5.8715786508400925e-06,0.0,0.0
283,),1.6925780073506758e-05,0.0,0.0
284,ĠText,1.0083222150569782e-05,0.0,0.0
285,Ċ,1.6678641259204596e-06,0.0,0.0
286,The,1.79345970536815e-05,0.0,1.0
287,Ġjoke,2.3663589672651142e-05,0.0,0.0
288,Ġis,2.110942659783177e-05,0.0,0.0
289,Ġnot,5.877800504094921e-05,0.0,0.0
290,Ġfunny,7.226111847558059e-06,0.0,0.0
291,",",7.299966455320828e-06,0.0,0.0
292,Ġand,2.172833774238825e-06,0.0,0.0
293,Ġit,0.00014485418796539307,0.0,0.0
294,âĢĻs,2.4630822736071423e-05,0.0,0.0
295,Ġoffensive,1.8798891687765718e-06,0.0,0.0
296,Ġto,9.568259702064097e-05,0.0,0.0
297,Ġwomen,2.104400482494384e-05,0.0,1.0
298,",",6.201815995154902e-05,0.0,0.0
299,Ġand,1.4849127182969823e-05,0.0,0.0
300,Ġdoctors,1.9399354641791433e-05,0.0,0.0
301,",",3.927129728253931e-05,0.0,0.0
302,Ġand,5.9077483456349e-06,0.0,0.0
303,Ġmonkeys,5.600325494015124e-06,0.0,0.0
304,!ĊĊ,6.274125189520419e-05,0.0,0.0
305,###,5.315350790624507e-06,0.0,0.0
306,Ġ,1.3327353372005746e-05,0.0,0.0
307,2,4.7900939534883946e-05,0.0,0.0
308,),0.00018548021034803241,0.0,0.0
309,ĠAc,7.5762181950267404e-06,0.0,0.0
310,oustic,9.284245606977493e-06,0.0,0.0
311,Ċ,6.759497046004981e-05,0.0,0.0
312,Not,2.354922798986081e-05,0.0,0.0
313,Ġprovided,2.695924194995314e-06,0.0,0.0
314,.ĊĊ,3.848347841994837e-05,0.0,0.0
315,###,1.7532511265017092e-05,0.0,0.0
316,Ġ,2.601995220175013e-05,0.0,0.0
317,3,3.441358057898469e-05,0.0,0.0
318,),2.406361818430014e-05,0.0,0.0
319,ĠInt,0.00010033718717750162,0.0,0.0
320,egrate,4.457499017007649e-06,0.0,0.0
321,Ċ,5.719252294511534e-05,0.0,0.0
322,N,5.912315828027204e-07,0.0,0.0
323,/A,1.0837800800800323e-05,0.0,0.0
324,ĊĊ,1.1815398465842009e-05,0.0,0.0
325,###,6.291005411185324e-05,0.0,0.0
326,Ġ,0.00010582329559838399,0.0,0.0
327,4,3.333698259666562e-05,0.0,0.0
328,),8.915258149500005e-07,0.0,0.0
329,ĠFinal,1.3001328625250608e-05,0.0,0.0
330,Ċ,2.8033595299348235e-05,0.0,0.0
331,"{""",0.00015957473078742623,0.0,0.0
332,emotion,2.5068336981348693e-05,0.0,0.0
333,""":",0.0001039966955431737,0.0,0.0
334,"Ġ""",0.0004913796437904239,0.0,0.0
