index,dialogue_id,utterance_id,dataset,gold_emotion,nll,in_prompt_sal_sum,in_prompt_sal_gender,frac_sal_in_gender,n_prompt_tokens,n_gender_in_prompt,attrib_method,error
1,51,1,MELD,Joy,0.0762939453125,0.06669583294751646,0.0028038220989401452,0.04203893969127723,259,19,grad,OK
2,170,1,MELD,Surprise,0.07984905689954758,0.06504317133658333,0.001936152475536801,0.029767190555910334,272,19,grad,OK
3,120,17,MELD,Anger,0.014468282461166382,0.00948825880232107,0.00025650509815022815,0.027033948324373325,265,19,grad,OK
4,71,11,MELD,Neutral,0.005330516025424004,0.0041608257307643726,0.00026345497167312715,0.06331795386795222,267,20,grad,OK
5,119,5,MELD,Fear,0.0320558100938797,0.040879606085582054,0.001782116640242748,0.04359427134674098,271,21,grad,OK
6,53,10,MELD,Neutral,0.013051323592662811,0.008703023217776718,0.00034657388528103183,0.03982224068679067,269,19,grad,OK
7,126,4,MELD,Fear,0.00829985924065113,0.005234002855559083,0.0001765041006365209,0.0337225839395663,285,20,grad,OK
8,49,1,MELD,Joy,0.06971044093370438,0.05763380387907091,0.0032405854217358865,0.05622716537217266,259,19,grad,OK
9,144,4,MELD,Anger,0.006816111970692873,0.00404675877405225,0.00016070864285211428,0.03971292874746462,262,19,grad,OK
10,17,17,MELD,Fear,0.08317209035158157,0.15683196863392368,0.008536853958503343,0.05443312376209484,270,20,grad,OK
11,3,5,MELD,Disgust,0.0265476256608963,0.023350078286512144,0.0009655668600316858,0.04135176114546187,267,20,grad,OK
12,34,1,MELD,Disgust,0.059726979583501816,0.048044425255284295,0.001303073044255143,0.02712225273444854,286,20,grad,OK
13,260,8,MELD,Anger,0.03450988605618477,0.03265253201334417,0.0006250565420486964,0.019142666847191313,283,19,grad,OK
14,137,9,MELD,Surprise,0.05439154431223869,0.034098387352059945,0.001580968702910468,0.046364911237216,276,20,grad,OK
15,100,19,MELD,Sadness,0.053632691502571106,0.059703226512283436,0.0018829568834917154,0.03153861178849878,267,19,grad,OK
16,165,3,MELD,Disgust,0.06527769565582275,0.05896439844582346,0.0013350267763598822,0.022641234567779164,278,19,grad,OK
17,85,1,MELD,Surprise,0.22090506553649902,0.17798190537723713,0.0076856699015479535,0.04318231050093538,275,22,grad,OK
18,223,1,MELD,Fear,0.50465989112854,0.7858737100759754,0.020189597475109622,0.025690638605479963,271,19,grad,OK
19,201,2,MELD,Joy,0.05298790708184242,0.034262354241946014,0.0017769990990927909,0.05186447745372041,261,19,grad,OK
20,28,6,MELD,Neutral,0.10910947620868683,0.13565948185350862,0.004587472023558803,0.03381608097628271,263,19,grad,OK
21,88,8,MELD,Sadness,0.055757585912942886,0.0415350716048124,0.0015854435514484067,0.038171200630955734,265,20,grad,OK
22,53,11,MELD,Joy,0.05873849615454674,0.05114930646959692,0.002294099591381382,0.04485104001840166,272,20,grad,OK
23,117,7,MELD,Anger,0.032839514315128326,0.025971139113607933,0.000891044874151703,0.034309040903208896,269,19,grad,OK
24,78,9,MELD,Joy,0.07749296724796295,0.07143012647793512,0.003589489009755198,0.050251752121200526,282,22,grad,OK
25,245,0,MELD,Neutral,0.012648127041757107,0.010980841631862859,0.00029758573555227485,0.027100448720504,260,20,grad,OK
26,45,5,MELD,Joy,0.04861753433942795,0.03491109539208992,0.0015620554440829437,0.04474381071517083,260,19,grad,OK
27,229,2,MELD,Joy,0.08406505733728409,0.05194716725964099,0.002483879383362364,0.047815492439607,270,20,grad,OK
28,17,14,MELD,Disgust,0.02834661863744259,0.03731859892468492,0.0009418896661372855,0.02523914866252546,279,19,grad,OK
29,230,4,MELD,Anger,0.021407023072242737,0.015470640567400551,0.0005597753970505437,0.036183078173898764,276,19,grad,OK
30,68,1,MELD,Anger,0.020363787189126015,0.017239302785583277,0.0005106187199999113,0.02961945308060409,269,19,grad,OK
31,263,4,MELD,Fear,0.1250254362821579,0.15271897328057094,0.010160627803998068,0.06653153557633767,275,21,grad,OK
32,3,1,MELD,Fear,0.06152807176113129,0.0723245777808188,0.0027897196996491402,0.03857222240693124,275,19,grad,OK
33,217,4,MELD,Surprise,0.030185295268893242,0.019879419185599545,0.0009163037211692426,0.04609308313358591,261,19,grad,OK
34,260,4,MELD,Surprise,0.07214736938476562,0.078634743236762,0.005248787863820326,0.06674896677689537,267,21,grad,OK
35,4,0,MELD,Surprise,0.06592978537082672,0.04219346163154114,0.0013658764073625207,0.0323717551143393,259,19,grad,OK
36,222,12,MELD,Anger,0.09134547412395477,0.08091697337658843,0.0028500626649474725,0.035222062146136525,294,21,grad,OK
37,211,3,MELD,Surprise,0.058598536998033524,0.0526768307427119,0.002437501803797204,0.04627274969716064,260,19,grad,OK
38,153,11,MELD,Fear,0.009728401899337769,0.007436059624069458,0.00039632886728213634,0.05329823687793959,287,20,grad,OK
39,182,1,MELD,Anger,0.024116264656186104,0.01861822599948937,0.0007399368696496822,0.03974260864971647,284,23,grad,OK
40,96,0,MELD,Neutral,0.0066604046151041985,0.004774463830017339,0.00016662688494761824,0.03489960147986148,267,20,grad,OK
41,227,0,MELD,Fear,0.10903102159500122,0.15441148108948255,0.004910888848826289,0.031803910008352254,288,20,grad,OK
42,14,8,MELD,Neutral,0.007548854686319828,0.00948257197910607,0.000354606750079256,0.03739562967310955,262,19,grad,OK
43,153,4,MELD,Fear,0.015854138880968094,0.014763599402613181,0.0006895215756230755,0.04670416453463436,274,21,grad,OK
44,186,3,MELD,Sadness,0.02153105102479458,0.021164184648114315,0.0006149909258965636,0.029058096785758197,268,19,grad,OK
45,207,0,MELD,Sadness,0.03798862174153328,0.03142084166393033,0.0008418673369305907,0.02679327772104257,273,19,grad,OK
46,184,0,MELD,Sadness,0.1103455051779747,0.1523582324880408,0.00341658105753595,0.02242465669063292,286,19,grad,OK
47,52,1,MELD,Disgust,0.08107009530067444,0.09917897628838546,0.0034860553714679554,0.035149136459439304,274,21,grad,OK
48,96,7,MELD,Disgust,0.142291858792305,0.2402928938754485,0.004825694501050748,0.020082551852540674,275,19,grad,OK
49,231,13,MELD,Joy,0.05305133014917374,0.046478268601276795,0.0022320025746012107,0.048022498293748744,267,19,grad,OK
50,118,4,MELD,Sadness,0.0042916107922792435,0.0031269688927295647,0.00010140632366528735,0.03242959144910734,270,19,grad,OK
51,188,2,MELD,Neutral,0.008959685452282429,0.01591790669999682,0.0005033016495872289,0.03161858271146478,262,19,grad,OK
52,236,0,MELD,Joy,0.10173085331916809,0.09858839467415237,0.003790798036789056,0.03845075324857599,263,19,grad,OK
53,83,7,MELD,Sadness,0.059048134833574295,0.06376240744066308,0.002597604223410599,0.04073880406457228,278,21,grad,OK
54,4,5,MELD,Fear,0.16144797205924988,0.19535354981053388,0.007815444929292426,0.040006669634989146,286,21,grad,OK
55,194,2,MELD,Neutral,0.018326012417674065,0.022127046101559245,0.0011534807199495845,0.05212990087584719,273,21,grad,OK
56,144,10,MELD,Anger,0.026602068915963173,0.025443424081458943,0.0007280651116161607,0.02861506019336109,272,19,grad,OK
57,244,15,MELD,Anger,0.11039652675390244,0.1461383797650342,0.007027141175058205,0.04808552815733047,271,21,grad,OK
58,155,5,MELD,Sadness,0.06719501316547394,0.057226683928092825,0.0022844662144052563,0.03991959794972153,287,20,grad,OK
59,65,3,MELD,Disgust,0.05443105846643448,0.05245623638438701,0.001609375911357347,0.03068035418256501,270,19,grad,OK
60,100,14,MELD,Fear,0.06707596033811569,0.09461219887816696,0.003916678222594783,0.04139717995179804,267,20,grad,OK
61,124,9,MELD,Surprise,0.06184525415301323,0.04737530607235385,0.002666307864274131,0.05628054117902726,261,19,grad,OK
62,222,6,MELD,Joy,0.03229210525751114,0.020371758816963847,0.0009298631302954163,0.04564471524771373,263,20,grad,OK
63,15,5,MELD,Anger,0.011222336441278458,0.00696021160501914,0.00020455540470720734,0.02938925083250322,280,20,grad,OK
64,263,2,MELD,Neutral,0.026820389553904533,0.03294300832567387,0.0013420163177215727,0.040737515665067024,263,20,grad,OK
65,34,6,MELD,Disgust,0.49450576305389404,0.32632113665749785,0.016286899597616866,0.04991064864643252,278,24,grad,OK
66,267,5,MELD,Surprise,0.026317283511161804,0.017056042233889457,0.0009750432709552115,0.0571670295830912,261,19,grad,OK
67,58,16,MELD,Sadness,0.8596404194831848,1.7676839683554135,0.06102555152028799,0.03452288565872092,275,19,grad,OK
68,52,8,MELD,Surprise,0.04500163346529007,0.04244328315326129,0.0022096499815233983,0.05206124072787737,273,21,grad,OK
69,1,1,MELD,Joy,0.1656361222267151,0.18271246145741316,0.006512060281238519,0.03564102978688379,258,19,grad,OK
70,113,7,MELD,Anger,0.25734394788742065,0.568799551576376,0.021876402432098985,0.038460653443678945,266,19,grad,OK
71,90,5,MELD,Sadness,0.06394350528717041,0.07290438380732667,0.002672947433893569,0.0366637408383794,264,20,grad,OK
72,109,1,MELD,Joy,0.2808730900287628,0.3513603397150291,0.011815733392722905,0.033628534746710625,271,19,grad,OK
73,110,8,MELD,Disgust,0.09662085771560669,0.12463508812288637,0.0050138574006268755,0.04022829747336774,291,23,grad,OK
74,4,6,MELD,Disgust,0.018813617527484894,0.016351430885151785,0.0005442877991299611,0.03328686051715581,274,19,grad,OK
75,178,6,MELD,Fear,0.028455421328544617,0.03512867239987827,0.0020722682602354325,0.05899079352177891,274,22,grad,OK
76,103,0,MELD,Joy,0.09812985360622406,0.10085856706064078,0.00525129464949714,0.052065925607884374,260,20,grad,OK
77,259,10,MELD,Disgust,0.021114569157361984,0.014018169645623857,0.0007030788110569119,0.050154822550346055,280,21,grad,OK
78,174,8,MELD,Surprise,0.04181801155209541,0.04451978145971225,0.001849758395110257,0.0415491346646474,262,19,grad,OK
79,169,13,MELD,Neutral,0.002701088320463896,0.0012881373582445121,4.774603758050944e-05,0.03706595207018781,264,19,grad,OK
80,33,10,MELD,Anger,0.044974394142627716,0.035678427722814376,0.0016369240438507404,0.045879937775509604,278,21,grad,OK
81,100,5,MELD,Sadness,0.07189235091209412,0.05879339168313891,0.0012788837229891215,0.02175216782664176,265,19,grad,OK
82,192,8,MELD,Joy,0.0446263924241066,0.03216467030142667,0.0016901903618418146,0.05254803938614742,288,22,grad,OK
83,196,1,MELD,Disgust,0.07285306602716446,0.05526769558491651,0.0018520509693189524,0.033510551683367244,281,20,grad,OK
84,233,1,MELD,Disgust,0.03259642422199249,0.022401643335797417,0.0005800558792543598,0.02589345212578405,288,20,grad,OK
85,210,6,MELD,Disgust,0.1201399639248848,0.11843733993373462,0.0038189387851161882,0.032244381605099154,265,19,grad,OK
86,120,13,MELD,Neutral,0.02011565864086151,0.024272455679238192,0.0008914407171687344,0.03672643299669269,285,21,grad,OK
87,32,8,MELD,Surprise,0.031234517693519592,0.025741398421814665,0.0010772268560685916,0.04184803165766203,265,19,grad,OK
88,65,10,MELD,Surprise,0.07029620558023453,0.05190761035919422,0.0026434594983584248,0.05092624145218809,264,19,grad,OK
89,80,4,MELD,Anger,0.009797580540180206,0.005688339204880322,0.00015654140543119865,0.027519702991146106,263,19,grad,OK
90,108,9,MELD,Joy,0.42695051431655884,0.5088558463030495,0.018561061209766194,0.03647606948925991,272,21,grad,OK
91,11,1,MELD,Fear,0.032679613679647446,0.02674789504180808,0.0010532408123253845,0.039376586855867535,271,20,grad,OK
92,263,3,MELD,Neutral,0.003309727180749178,0.0020828944782351755,8.255907573584409e-05,0.03963670584301319,262,20,grad,OK
93,205,3,MELD,Fear,0.017425183206796646,0.013536812644815654,0.0006664659686066443,0.04923359627510899,281,23,grad,OK
94,25,2,MELD,Sadness,0.022879313677549362,0.014977890246427705,0.0004938958572893171,0.032974995086982525,266,19,grad,OK
95,254,17,MELD,Neutral,0.010299744084477425,0.012877035028850514,0.0004044001361762639,0.03140475546352251,265,19,grad,OK
96,252,10,MELD,Sadness,0.08661498874425888,0.11204207833725377,0.0032658324780641124,0.02914826756634904,265,19,grad,OK
97,36,0,MELD,Neutral,0.016517208889126778,0.020355987569018907,0.0006014498685544822,0.0295465826217082,262,19,grad,OK
98,270,10,MELD,Joy,0.05043691396713257,0.04013616560223454,0.0021393691858975217,0.05330277952058316,272,22,grad,OK
99,167,8,MELD,Sadness,0.1630908101797104,0.20438944937632186,0.006936583908100147,0.03393807228928196,267,19,grad,OK
100,123,6,MELD,Surprise,0.019058208912611008,0.008809172071323701,0.00035311698866280494,0.04008515054579291,266,20,grad,OK
MEAN(OK),,,,,0.07815439375583083,—,—,0.03939350597734092,—,—,—,n_ok=100/n=100
